Logging to file...
Dataset samples: 3
######################Training Started######################
Average Training Loss of Epoch 1: 9.079412 | Acc: 0.00% | WER 1000.00% | BLEU-4 0.00
Average Validation Loss of Epoch 1: 7.210071 | Acc: 0.00% | WER: 1000.00% | BLEU-4: 0.00
Average test Loss of Epoch 1: 7.210071 | Acc: 0.00% | WER: 1000.00% | BLEU-4: 0.00
####################Epoch 1 Model Saved#####################
Average Training Loss of Epoch 2: 7.320247 | Acc: 30.00% | WER 700.00% | BLEU-4 0.00
Average Validation Loss of Epoch 2: 5.727668 | Acc: 86.67% | WER: 100.00% | BLEU-4: 0.00
Average test Loss of Epoch 2: 5.727668 | Acc: 86.67% | WER: 100.00% | BLEU-4: 0.00
####################Epoch 2 Model Saved#####################
Average Training Loss of Epoch 3: 5.878561 | Acc: 86.67% | WER 100.00% | BLEU-4 0.00
Average Validation Loss of Epoch 3: 4.465914 | Acc: 86.67% | WER: 100.00% | BLEU-4: 0.00
Average test Loss of Epoch 3: 4.465914 | Acc: 86.67% | WER: 100.00% | BLEU-4: 0.00
####################Epoch 3 Model Saved#####################
Average Training Loss of Epoch 4: 4.725472 | Acc: 86.67% | WER 100.00% | BLEU-4 0.00
Average Validation Loss of Epoch 4: 3.416067 | Acc: 86.67% | WER: 100.00% | BLEU-4: 0.00
