Logging to file...
Dataset samples: 108
######################Training Started######################
Average Training Loss of Epoch 1: 3.358259 | Acc: 72.93% | WER 149.00% | BLEU-4 0.00
Average Validation Loss of Epoch 1: 3.056073 | Acc: 70.83% | WER: 100.00% | BLEU-4: 0.00
Average test Loss of Epoch 1: 4.979852 | Acc: 54.17% | WER: 100.00% | BLEU-4: 0.00
####################Epoch 1 Model Saved#####################
Average Training Loss of Epoch 2: 1.732339 | Acc: 79.53% | WER 100.00% | BLEU-4 0.00
Average Validation Loss of Epoch 2: 2.941779 | Acc: 70.83% | WER: 100.00% | BLEU-4: 0.00
Average test Loss of Epoch 2: 5.161876 | Acc: 54.17% | WER: 100.00% | BLEU-4: 0.00
####################Epoch 2 Model Saved#####################
Average Training Loss of Epoch 3: 1.262452 | Acc: 82.07% | WER 91.94% | BLEU-4 0.00
Average Validation Loss of Epoch 3: 2.941077 | Acc: 57.50% | WER: 153.77% | BLEU-4: 0.00
Average test Loss of Epoch 3: 4.027645 | Acc: 52.50% | WER: 100.20% | BLEU-4: 0.00
####################Epoch 3 Model Saved#####################
