Logging to file...
Dataset samples: 40
######################Training Started######################
Average Training Loss of Epoch 1: 3.830780 | Acc: 77.83% | WER 215.00% | BLEU-4 0.00
Average Validation Loss of Epoch 1: 3.674732 | Acc: 67.33% | WER: 100.00% | BLEU-4: 0.00
Average test Loss of Epoch 1: 4.563591 | Acc: 59.67% | WER: 100.00% | BLEU-4: 0.00
####################Epoch 1 Model Saved#####################
Average Training Loss of Epoch 2: 1.390898 | Acc: 87.00% | WER 100.00% | BLEU-4 0.00
Average Validation Loss of Epoch 2: 3.605988 | Acc: 67.33% | WER: 100.00% | BLEU-4: 0.00
Average test Loss of Epoch 2: 4.489519 | Acc: 59.67% | WER: 100.00% | BLEU-4: 0.00
####################Epoch 2 Model Saved#####################
Average Training Loss of Epoch 3: 1.176344 | Acc: 87.00% | WER 100.00% | BLEU-4 0.00
Average Validation Loss of Epoch 3: 3.589196 | Acc: 67.33% | WER: 100.00% | BLEU-4: 0.00
Average test Loss of Epoch 3: 4.473884 | Acc: 59.67% | WER: 100.00% | BLEU-4: 0.00
####################Epoch 3 Model Saved#####################
Average Training Loss of Epoch 4: 1.001958 | Acc: 87.00% | WER 100.00% | BLEU-4 0.00
Average Validation Loss of Epoch 4: 3.680735 | Acc: 67.33% | WER: 100.00% | BLEU-4: 0.00
Average test Loss of Epoch 4: 4.600485 | Acc: 59.67% | WER: 100.00% | BLEU-4: 0.00
####################Epoch 4 Model Saved#####################
Average Training Loss of Epoch 5: 0.832626 | Acc: 87.67% | WER 91.67% | BLEU-4 0.00
